model,hardest_event,hardest_iou,easiest_event,easiest_iou,rf_iou_hardest,rf_iou_easiest
spectral RF,MO3691709150920180412,0.0,WA4676511950920200706,0.966223276568104,0.0,0.966223276568104
Prithvi linear,AZ3697611367020210624,0.002256725040621,ID4371511252320190722,0.8978130391373038,0.1107516650808753,0.5927477866727536
Prithvi MLP,NM3623610471320180404,0.004787697069349,CA3424811795920200906,0.6124861766518374,0.2359720385414698,0.609609275409239
Prithvi decoder,AZ3697611367020210624,0.0,ID4371511252320190722,0.9308246028289128,0.1107516650808753,0.5927477866727536
spectral CNN,AZ3146411144720180705,0.0,WA4784011934020180811,0.9797563100012444,0.0001027696418477,0.9083574186967188
