event_id,image_id,iou,dice,auprc,auroc,true_burn_fraction,pred_burn_fraction,image_id_linear,iou_linear,dice_linear,auprc_linear,auroc_linear,true_burn_fraction_linear,pred_burn_fraction_linear,image_id_mlp,iou_mlp,dice_mlp,auprc_mlp,auroc_mlp,true_burn_fraction_mlp,pred_burn_fraction_mlp,image_id_decoder,iou_decoder,dice_decoder,auprc_decoder,auroc_decoder,true_burn_fraction_decoder,pred_burn_fraction_decoder,image_id_spectral,iou_spectral,dice_spectral,auprc_spectral,auroc_spectral,true_burn_fraction_spectral,pred_burn_fraction_spectral
AR3497109415320180202,subsetted_512x512_HLS.S30.T15SUU.2018062.v1.4,0.2106656580937972,0.3480162449234614,0.3443322101702017,0.9029723662038868,0.0181007385253906,0.0063209533691406,subsetted_512x512_HLS.S30.T15SUU.2018062.v1.4,0.0188042487652871,0.0369143508933663,0.0280389725265928,0.6188978220808767,0.0181007385253906,0.958454132080078,subsetted_512x512_HLS.S30.T15SUU.2018062.v1.4,0.0310588727887189,0.0602465554749818,0.0539966989395775,0.6867234614138666,0.0181007385253906,0.2449226379394531,subsetted_512x512_HLS.S30.T15SUU.2018062.v1.4,0.0181510766323536,0.0356549770440558,0.0186970072063099,0.5082771410097031,0.0181007385253906,0.9972267150878906,subsetted_512x512_HLS.S30.T15SUU.2018062.v1.4,0.260222268819459,0.4129783693843594,0.6231028420029135,0.941594824689665,0.0181007385253906,0.0048255920410156
AZ3146411144720180705,subsetted_512x512_HLS.S30.T12RVV.2018215.v1.4,0.0001027696418477,0.0002055181626676,0.1077572198263408,0.5711365897073492,0.0742378234863281,7.62939453125e-06,subsetted_512x512_HLS.S30.T12RVV.2018215.v1.4,0.0763814605269375,0.1419226609301601,0.0857097394931052,0.5435885084467201,0.0742378234863281,0.8815689086914062,subsetted_512x512_HLS.S30.T12RVV.2018215.v1.4,0.1220750734975623,0.2175880676451504,0.1971723089586201,0.71605476563525,0.0742378234863281,0.3902130126953125,subsetted_512x512_HLS.S30.T12RVV.2018215.v1.4,0.3947846959557753,0.5660869338478788,0.5174991745405193,0.831082578533724,0.0742378234863281,0.0720596313476562,subsetted_512x512_HLS.S30.T12RVV.2018215.v1.4,0.0,0.0,0.0700565252434871,0.5271972583158456,0.0742378234863281,0.0
AZ3153510989320180607,subsetted_512x512_HLS.S30.T12RXV.2018182.v1.4,0.7638097159864804,0.8660908362887542,0.904977375193978,0.954363085377988,0.07464599609375,0.0587310791015625,subsetted_512x512_HLS.S30.T12RXV.2018182.v1.4,0.0701058680820024,0.1310260417647391,0.0737549591741408,0.4916449895693688,0.07464599609375,0.9382896423339844,subsetted_512x512_HLS.S30.T12RXV.2018182.v1.4,0.1303825203128328,0.2306874318558102,0.1496707077196732,0.6060278993688311,0.07464599609375,0.2087516784667968,subsetted_512x512_HLS.S30.T12RXV.2018182.v1.4,0.0772803386938801,0.1434730328181365,0.083566078185188,0.5314375700811292,0.07464599609375,0.965911865234375,subsetted_512x512_HLS.S30.T12RXV.2018182.v1.4,0.7750606930037519,0.873277962898493,0.9147236451898072,0.9937733302433616,0.07464599609375,0.0787582397460937
AZ3154810940620180724,subsetted_512x512_HLS.S30.T12RXV.2018217.v1.4,0.5467540202501489,0.7069695802849442,0.7693051531848825,0.9215607540886632,0.0713806126731011,0.047506962194331,subsetted_512x512_HLS.S30.T12RXV.2018217.v1.4,0.071721197589577,0.1338430139310227,0.1155390350184597,0.6308813923181193,0.0713806126731011,0.9585396558959296,subsetted_512x512_HLS.S30.T12RXV.2018217.v1.4,0.1043899473441652,0.1890454501061005,0.2198851042866189,0.6461738334962419,0.0713806126731011,0.3582878724297104,subsetted_512x512_HLS.S30.T12RXV.2018217.v1.4,0.0721132167096393,0.1345253758384919,0.0807483890800851,0.5820692547244524,0.0713806126731011,0.9898409186281616,subsetted_512x512_HLS.S30.T12RXV.2018217.v1.4,0.6930039889536668,0.818667874943362,0.893241495944693,0.9880249997991652,0.0713806126731011,0.0549116850417731
AZ3156211037620190714,subsetted_512x512_HLS.S30.T12RWV.2019225.v1.4,0.4718450117689661,0.6411612744495018,0.654398238047831,0.9045105783146024,0.0196191377192514,0.011390772939857,subsetted_512x512_HLS.S30.T12RWV.2019225.v1.4,0.0199578960672715,0.0391347449619727,0.0255658448259911,0.6047548242854073,0.0196191377192514,0.9654805410807884,subsetted_512x512_HLS.S30.T12RWV.2019225.v1.4,0.0376807708919768,0.0726249766767614,0.0460474344898207,0.6920653650287931,0.0196191377192514,0.2461642926352892,subsetted_512x512_HLS.S30.T12RWV.2019225.v1.4,0.0204583334990791,0.040096362247205,0.0227048981303666,0.5120817590729925,0.0196191377192514,0.9589802473468578,subsetted_512x512_HLS.S30.T12RWV.2019225.v1.4,0.4927395934172314,0.6601815823605707,0.7838985663691921,0.903936156616226,0.0196191377192514,0.0097924025909621
AZ3160611150220201027,subsetted_512x512_HLS.S30.T12RVV.2020320.v1.4,0.365946956817409,0.5358143008276807,0.4520092819164798,0.9503118420700708,0.0235557556152343,0.0377426147460937,subsetted_512x512_HLS.S30.T12RVV.2020320.v1.4,0.0243416773410907,0.0475264804303873,0.0537637917135924,0.6070947644327439,0.0235557556152343,0.9556732177734376,subsetted_512x512_HLS.S30.T12RVV.2020320.v1.4,0.089206199159183,0.1638003882608199,0.1290446270451967,0.7642557981187722,0.0235557556152343,0.1434707641601562,subsetted_512x512_HLS.S30.T12RVV.2020320.v1.4,0.0237461640811868,0.0463907263623284,0.0216509128276975,0.4939578731565466,0.0235557556152343,0.9919815063476562,subsetted_512x512_HLS.S30.T12RVV.2020320.v1.4,0.6528051874823795,0.7899360341151386,0.8594299753690411,0.9904482733810298,0.0235557556152343,0.0211715698242187
AZ3168311135220201006,subsetted_512x512_HLS.S30.T12SVA.2020310.v1.4,0.4403476101800124,0.6114463023616618,0.7112309757086233,0.9097118143724108,0.0303497314453125,0.0139083862304687,subsetted_512x512_HLS.S30.T12SVA.2020310.v1.4,0.0315201851725781,0.0611140443505807,0.0595478744690392,0.6410246218989561,0.0303497314453125,0.9522552490234376,subsetted_512x512_HLS.S30.T12SVA.2020310.v1.4,0.0698122489136673,0.1305130857953021,0.1463291123194559,0.7451967904157241,0.0303497314453125,0.2683067321777344,subsetted_512x512_HLS.S30.T12SVA.2020310.v1.4,0.0305934106500138,0.0593704759488381,0.0330076610118675,0.5675857662898692,0.0303497314453125,0.992034912109375,subsetted_512x512_HLS.S30.T12SVA.2020310.v1.4,0.7467749110320284,0.8550327879289489,0.92886259680085,0.9975229169103964,0.0303497314453125,0.0295677185058593
AZ3195511118320200712,subsetted_512x512_HLS.S30.T12SVA.2020230.v1.4,0.2575830991375133,0.4096478384834707,0.7424083774090933,0.917018811614068,0.0393638610839843,0.0101394653320312,subsetted_512x512_HLS.S30.T12SVA.2020230.v1.4,0.0403705688811339,0.0776080563765859,0.084142142111952,0.6756749697553821,0.0393638610839843,0.9750633239746094,subsetted_512x512_HLS.S30.T12SVA.2020230.v1.4,0.0749682913571299,0.1394800050566769,0.072367997890676,0.631316309825761,0.0393638610839843,0.0511627197265625,subsetted_512x512_HLS.S30.T12SVA.2020230.v1.4,0.0393643115727795,0.0757468986273214,0.0393695680373589,0.5000178695522685,0.0393638610839843,0.9999885559082032,subsetted_512x512_HLS.S30.T12SVA.2020230.v1.4,0.0,0.0,0.0802560071491662,0.5279274726034016,0.0393638610839843,0.0001716613769531
AZ3198010937020180512,subsetted_512x512_HLS.S30.T12SXA.2018157.v1.4,0.6558819144177724,0.7921844048262201,0.8332071168016504,0.9441802511793842,0.0252914428710937,0.0170745849609375,subsetted_512x512_HLS.S30.T12SXA.2018157.v1.4,0.0261840068244289,0.0510317967348886,0.0301290247285027,0.570387606368713,0.0252914428710937,0.965911865234375,subsetted_512x512_HLS.S30.T12SXA.2018157.v1.4,0.1139397406559877,0.2045707438158007,0.1544760993316865,0.7523760372594603,0.0252914428710937,0.1084098815917968,subsetted_512x512_HLS.S30.T12SXA.2018157.v1.4,0.025504512336798,0.0497404195300543,0.0265242179882405,0.5676097212549688,0.0252914428710937,0.9916458129882812,subsetted_512x512_HLS.S30.T12SXA.2018157.v1.4,0.7348777348777349,0.8471810089020771,0.94844409901577,0.9982412515884496,0.0252914428710937,0.0209884643554687
AZ3209510937320200606,subsetted_512x512_HLS.S30.T12SXA.2020187.v1.4,0.626756468650063,0.7705596759300628,0.8416013911441653,0.9234357545377108,0.0785980224609375,0.0494728088378906,subsetted_512x512_HLS.S30.T12SXA.2020187.v1.4,0.0805802219380584,0.1491425075197749,0.1010610616355029,0.5739077543858989,0.0785980224609375,0.9626121520996094,subsetted_512x512_HLS.S30.T12SXA.2020187.v1.4,0.0897840591147141,0.1647740364043316,0.15929961534863,0.6051720610832642,0.0785980224609375,0.1531906127929687,subsetted_512x512_HLS.S30.T12SXA.2020187.v1.4,0.0816400925603068,0.1509561140010257,0.0872910373217724,0.5282261442814034,0.0785980224609375,0.962738037109375,subsetted_512x512_HLS.S30.T12SXA.2020187.v1.4,0.6869971936389149,0.814461572585117,0.9166046499699588,0.9549293151093016,0.0785980224609375,0.058990478515625
