burn_bin,n,rf_iou,rf_auroc,linear_iou,linear_auroc,mlp_iou,mlp_auroc,decoder_iou,decoder_auroc,spectral_iou,spectral_auroc
0.01-0.05,283,0.49677328082943695,0.9326161997898607,0.030143703841675636,0.5990687242070488,0.06884867107482243,0.6876899192993652,0.07492431502307106,0.5962034420195067,0.48909452127257996,0.9418212734045256
0.05-0.20,179,0.5909496234638499,0.926934245398834,0.09877791116020065,0.5772179501667049,0.14211193974450242,0.6509738961216209,0.12620939289228367,0.572264420485031,0.6050941235570602,0.9168206106494772
>=0.20,113,0.693864909527496,0.931413953837346,0.43362720110511543,0.5273848029324775,0.26123176724351177,0.5632203114346228,0.40256585103681214,0.542114605063918,0.7587446521099225,0.9461436244172985
<0.01,1,0.01472,0.5511555770656291,0.0095310432694663,0.50007077217973,0.022127659574468,0.5707558240911819,0.0084101124002113,0.5043721173851683,0.0456102397692446,0.8880005323204828
