model,model_name,n_thresholds,threshold_min,threshold_max,threshold_spread,mean_true_bf,mean_pred_bf,r_true_pred_bf
rf,spectral RF,5,0.35,0.51,0.16000000000000003,0.13941777205556813,0.11919863742606274,0.9154630608965261
linear,Prithvi linear,5,0.01,0.42,0.41,0.13941777205556813,0.8382046198705915,0.008522190514080374
mlp,Prithvi MLP,5,0.26,0.47,0.20999999999999996,0.13941777205556813,0.24496404474130834,0.2340133020126878
decoder,Prithvi decoder,5,0.48,0.5,0.020000000000000018,0.13941777205556813,0.7610986323924546,0.01605501412114517
spectral,spectral CNN,5,0.5,0.74,0.24,0.13941777205556813,0.13300501507188311,0.9106836820464609
